website,https_status,return_code,ip,size,ttl,response_time,exception
spider.dev,"Error: HTTPSConnectionPool(host='spider.dev', port=443): Max retries exceeded with url: / (Caused by NewConnectionError('<urllib3.connection.HTTPSConnection object at 0x7ff32c749a90>: Failed to establish a new connection: [Errno 8] nodename nor servname provided, or not known'))",0,['ns1.dnsimple.com. admin.dnsimple.com. 1636731876 86400 7200 604800 300'],86,300,0.006849765777587891,False
wtdtelecom-ba.com.br,"Error: HTTPSConnectionPool(host='wtdtelecom-ba.com.br', port=443): Max retries exceeded with url: / (Caused by SSLError(SSLCertVerificationError(1, '[SSL: CERTIFICATE_VERIFY_FAILED] certificate verify failed: certificate has expired (_ssl.c:1129)')))",0,['192.140.64.39'],54,4499,0.1270451545715332,False
theproxy.ink,Blocked - Client Error (Status Code: 403),0,"['104.21.112.1', '104.21.80.1', '104.21.48.1', '104.21.32.1', '104.21.64.1', '104.21.96.1', '104.21.16.1']",142,374,0.009420156478881836,False
be.cx,"Error: HTTPSConnectionPool(host='be.cx', port=443): Max retries exceeded with url: / (Caused by SSLError(SSLCertVerificationError(1, '[SSL: CERTIFICATE_VERIFY_FAILED] certificate verify failed: self signed certificate in certificate chain (_ssl.c:1129)')))",0,['5.44.111.74'],39,749,0.009461402893066406,False
siteunblocked.lol,"Error: HTTPSConnectionPool(host='siteunblocked.lol', port=443): Max retries exceeded with url: / (Caused by SSLError(SSLCertVerificationError(1, '[SSL: CERTIFICATE_VERIFY_FAILED] certificate verify failed: self signed certificate in certificate chain (_ssl.c:1129)')))",0,"['172.67.201.28', '104.21.66.48']",67,374,0.009192943572998047,False
piaroankenyte.store,Blocked - Client Error (Status Code: 404),0,['23.109.170.67'],53,74,0.008224964141845703,False
pirabox.net,"Error: HTTPSConnectionPool(host='pirabox.net', port=443): Max retries exceeded with url: / (Caused by SSLError(SSLCertVerificationError(1, '[SSL: CERTIFICATE_VERIFY_FAILED] certificate verify failed: self signed certificate in certificate chain (_ssl.c:1129)')))",0,"['172.67.177.50', '104.21.59.119']",61,374,0.1288440227508545,False
iproxy.help,Blocked - Client Error (Status Code: 403),0,"['104.21.38.39', '172.67.218.194']",61,374,0.12617802619934082,False
free-vpn-proxy.com,"Error: HTTPSConnectionPool(host='free-vpn-proxy.com', port=443): Max retries exceeded with url: / (Caused by SSLError(SSLCertVerificationError(1, '[SSL: CERTIFICATE_VERIFY_FAILED] certificate verify failed: self signed certificate in certificate chain (_ssl.c:1129)')))",0,['103.224.212.217'],52,4499,0.00789189338684082,False
ppira.com,Blocked - Client Error (Status Code: 403),0,"['188.114.97.7', '188.114.96.7']",59,373,0.013190746307373047,False
dns-over-https.com,Accessible (Status Code: 200),0,"['3.75.10.80', '3.124.100.143']",68,373,0.011733055114746094,False
netsocks.io,Accessible (Status Code: 200),0,"['35.152.104.113', '18.102.16.191', '35.152.119.144']",77,60,0.005349159240722656,False
piraproxy.app,Blocked - Client Error (Status Code: 403),0,"['104.21.51.61', '172.67.222.134']",63,373,0.12926220893859863,False
croxy.rocks,Blocked - Client Error (Status Code: 400),0,"['188.114.97.7', '188.114.96.7']",61,373,0.00908207893371582,False
theproxies.net,"Error: HTTPSConnectionPool(host='theproxies.net', port=443): Max retries exceeded with url: / (Caused by SSLError(SSLCertVerificationError(1, '[SSL: CERTIFICATE_VERIFY_FAILED] certificate verify failed: self signed certificate in certificate chain (_ssl.c:1129)')))",0,"['188.114.97.12', '188.114.96.12']",64,373,0.010935068130493164,False
unblockweb.biz,Blocked - Client Error (Status Code: 403),0,"['172.67.216.221', '104.21.24.50']",64,373,0.0069446563720703125,False
theproxy2.info,Blocked - Client Error (Status Code: 403),0,"['172.67.215.183', '104.21.75.64']",64,373,0.008038043975830078,False
unmoor.com,Accessible (Status Code: 200),0,"['188.114.96.7', '188.114.97.7']",60,373,0.13715362548828125,False
ajump1.com,"Error: HTTPSConnectionPool(host='ajump1.com', port=443): Max retries exceeded with url: / (Caused by NewConnectionError('<urllib3.connection.HTTPSConnection object at 0x7ff32c766d90>: Failed to establish a new connection: [Errno 8] nodename nor servname provided, or not known'))",0,['ns-238.awsdns-29.com. awsdns-hostmaster.amazon.com. 1 7200 900 1209600 86400'],106,900,0.0057659149169921875,False
freepctech.com,Accessible (Status Code: 200),0,"['172.67.192.84', '104.21.20.102']",64,373,0.005404949188232422,False
89ip.cn,Blocked (Status Code: 521),0,"['6ec8c6d2.89ip.cn.cname.hcnamecdns.com.', '183.134.17.27', '183.134.17.125', '183.134.17.13']",124,36,0.007690906524658203,False
unblocksite.in,"Error: HTTPSConnectionPool(host='unblocksite.in', port=443): Max retries exceeded with url: / (Caused by SSLError(SSLCertVerificationError(1, '[SSL: CERTIFICATE_VERIFY_FAILED] certificate verify failed: self signed certificate in certificate chain (_ssl.c:1129)')))",0,"['104.21.68.138', '172.67.195.237']",64,373,0.008328914642333984,False
theproxy.ws,"Error: HTTPSConnectionPool(host='theproxy.ws', port=443): Max retries exceeded with url: / (Caused by SSLError(SSLCertVerificationError(1, '[SSL: CERTIFICATE_VERIFY_FAILED] certificate verify failed: self signed certificate in certificate chain (_ssl.c:1129)')))",0,"['172.67.178.3', '104.21.43.99']",61,373,0.006192922592163086,False
vcontakte.ru,"Error: HTTPSConnectionPool(host='vcontakte.ru', port=443): Max retries exceeded with url: / (Caused by NewConnectionError('<urllib3.connection.HTTPSConnection object at 0x7ff32c4b3310>: Failed to establish a new connection: [Errno 8] nodename nor servname provided, or not known'))",0,['ns1.vkontakte.ru. ncc.vk.com. 3459619655 300 900 172800 300'],90,300,0.12634801864624023,False
unblock.ws,"Error: HTTPSConnectionPool(host='unblock.ws', port=443): Max retries exceeded with url: / (Caused by SSLError(SSLCertVerificationError(1, '[SSL: CERTIFICATE_VERIFY_FAILED] certificate verify failed: self signed certificate in certificate chain (_ssl.c:1129)')))",0,"['104.21.48.172', '172.67.187.104']",60,373,0.005998134613037109,False
unblocksite.pro,Blocked - Client Error (Status Code: 403),0,"['104.21.2.71', '172.67.128.223']",65,373,0.010128259658813477,False
zone.ne.jp,"Error: HTTPSConnectionPool(host='zone.ne.jp', port=443): Max retries exceeded with url: / (Caused by ConnectTimeoutError(<urllib3.connection.HTTPSConnection object at 0x7ff32c64c040>, 'Connection to zone.ne.jp timed out. (connect timeout=3)'))",0,['122.220.195.88'],44,74,0.009318828582763672,False
toffy.lol,Accessible (Status Code: 200),0,"['104.21.16.1', '104.21.32.1', '104.21.112.1', '104.21.96.1', '104.21.80.1', '104.21.64.1', '104.21.48.1']",139,373,0.007558107376098633,False
dirproxy.app,"Error: HTTPSConnectionPool(host='dirproxy.app', port=443): Max retries exceeded with url: / (Caused by SSLError(SSLCertVerificationError(1, '[SSL: CERTIFICATE_VERIFY_FAILED] certificate verify failed: self signed certificate in certificate chain (_ssl.c:1129)')))",0,"['104.21.48.1', '104.21.80.1', '104.21.64.1', '104.21.16.1', '104.21.96.1', '104.21.112.1', '104.21.32.1']",142,373,0.16190695762634277,False
