website,https_status,return_code,ip,size,ttl,response_time,exception
free-vpn-proxy.com,"Error: HTTPSConnectionPool(host='free-vpn-proxy.com', port=443): Max retries exceeded with url: / (Caused by SSLError(SSLCertVerificationError(""hostname 'free-vpn-proxy.com' doesn't match either of '*.131-shelbmgiaccessfedpl.kohld.com', '*.acumen.store', '*.admdysonmarksandspencer.kohld.com', '*.advertising-dyson.kohld.com', '*.america-ncg0-phx3-apps.kohld.com', '*.app-qa-ncg0-phx3-app-qa.kohld.com', '*.bastion-ncg0-phx3-apps.kohld.com', '*.bikash.store', '*.cgi-ncg0-phx3-apps.kohld.com', '*.cheat-engine.online', '*.cluster-stg-ncg0-phx3-apps.kohld.com', '*.commoditybazaar.co', '*.contact-ncg0-phx3-contact.kohld.com', '*.corporation-dyson.kohld.com', '*.dcl14-administrators-phx3.kohld.com', '*.dcl14-ncg0-phx3-dev1.kohld.com', '*.dcl14-ncg0-phx3-sftp.kohld.com', '*.dcl14-ncg0-phx3.kohld.com', '*.dcl14-ncg0-phx3citrix.kohld.com', '*.dcl14-ncg0-phx3cms-qa.kohld.com', '*.dcl14-payment-phx3.kohld.com', '*.dclmyaccount-ncg0-phx3.kohld.com', '*.delulu.store', '*.dyson-paeuc1-coprpute.kohld.com', '*.dyson-paeuc1-dnsmpute.kohld.com', '*.dyson17arksandspencer.kohld.com', '*.dysonmarksandspencerjob.kohld.com', '*.dysonmarksandspsvncer.kohld.com', '*.dysonmarksaneshoppencer.kohld.com', '*.dysonmarksanregionpencer.kohld.com', '*.dysonmx1arksandspencer.kohld.com', '*.eupodz01c6513r0002-dyson.kohld.com', '*.heximeal.com', '*.huffpostmaghreb-batch.kohld.com', '*.huffpostmaghreb-cf.kohld.com', '*.huffpostmaghreb-console.kohld.com', '*.huffpostmaghreb-dns.kohld.com', '*.huffpostmaghreb-gitlab.kohld.com', '*.huffpostmaghreb-norwayeast.kohld.com', '*.huffpostmaghreb-profiles.kohld.com', '*.huffpostmaghreb-registry.kohld.com', '*.huffpostmaghreb-sg.kohld.com', '*.huffpostmaghreb-ssh.kohld.com', '*.juicymp3.cc', '*.kohld.com', '*.ladybugpaints.com', '*.logon-ncg0-phx3-apps.kohld.com', '*.madoomoviefree.online', '*.mdf001ffxmrs0002-brand.kohld.com', '*.mdf001ffxmrs0002-config.kohld.com', '*.mdf001ffxmrs0002-dash.kohld.com', '*.mdf001ffxmrs0002-engine.kohld.com', '*.mdf001ffxmrs0002-latin.kohld.com', '*.mdf001ffxmrs0002-team2.kohld.com', '*.nexttv.site', '*.nonprod-ncg0-phx3-apps.kohld.com', '*.pmgtworkscommunityemail.kohld.com', '*.push-ncg0-phx3-apps.kohld.com', '*.rarerecord.io', '*.registra.online', '*.rivolutplayer.store', '*.scarymazegames.net', '*.shbmgicanadaeastcs58.kohld.com', '*.shbmgielasticcs5insights.kohld.com', '*.shbmgimdashboa02api.kohld.com', '*.shbmgimdashboardapicms-qa.kohld.com', '*.shbmgimdashboardapifiles.kohld.com', '*.shbmgizoomin152no01a.kohld.com', '*.shbmgtrainingwebshare-nova.kohld.com', '*.shstmgiwestshare-nova.kohld.com', '*.splunk-ncg0-phx3-apps.kohld.com', '*.tarapaca1037.cl', '*.useast1-ncg0-phx3-useast1.kohld.com', '*.v7workscommunity-dyson.kohld.com', 'acumen.store', 'bikash.store', 'cheat-engine.online', 'commoditybazaar.co', 'delulu.store', 'heximeal.com', 'juicymp3.cc', 'kohld.com', 'ladybugpaints.com', 'madoomoviefree.online', 'nexttv.site', 'rarerecord.io', 'registra.online', 'rivolutplayer.store', 'scarymazegames.net', 'tarapaca1037.cl'"")))",0,['103.224.212.217'],52,3597,0.003367185592651367,False
ppira.com,Blocked - Client Error (Status Code: 403),0,"['188.114.97.7', '188.114.96.7']",59,297,0.0029222965240478516,False
dns-over-https.com,Accessible (Status Code: 200),0,"['3.125.36.175', '3.75.10.80']",68,297,0.0031578540802001953,False
netsocks.io,Accessible (Status Code: 200),0,"['35.152.104.113', '35.152.119.144', '18.102.16.191']",77,8,0.002162933349609375,False
piraproxy.app,Blocked - Client Error (Status Code: 403),0,"['172.67.222.134', '104.21.51.61']",63,297,0.004151105880737305,False
croxy.rocks,Blocked - Client Error (Status Code: 400),0,"['188.114.97.7', '188.114.96.7']",61,297,0.003860950469970703,False
theproxies.net,Blocked - Client Error (Status Code: 403),0,"['188.114.97.7', '188.114.96.7']",64,297,0.0030999183654785156,False
unblockweb.biz,Blocked - Client Error (Status Code: 403),0,"['172.67.216.221', '104.21.24.50']",64,297,0.005122184753417969,False
theproxy2.info,Blocked - Client Error (Status Code: 403),0,"['172.67.215.183', '104.21.75.64']",64,297,0.002932310104370117,False
unmoor.com,Accessible (Status Code: 200),0,"['188.114.96.7', '188.114.97.7']",60,297,0.0028121471405029297,False
ajump1.com,"Error: HTTPSConnectionPool(host='ajump1.com', port=443): Max retries exceeded with url: / (Caused by NewConnectionError('<urllib3.connection.HTTPSConnection object at 0x7f79cd773bb0>: Failed to establish a new connection: [Errno 8] nodename nor servname provided, or not known'))",0,[],28,0,0.0027298927307128906,False
freepctech.com,Accessible (Status Code: 200),0,"['172.67.192.84', '104.21.20.102']",64,297,0.0030562877655029297,False
89ip.cn,Blocked (Status Code: 521),0,"['6ec8c6d2.89ip.cn.cname.hcnamecdns.com.', '183.134.17.125', '183.134.17.13', '183.134.17.27']",124,27,0.0037841796875,False
unblocksite.in,Blocked - Client Error (Status Code: 403),0,"['104.21.68.138', '172.67.195.237']",64,297,0.0030531883239746094,False
theproxy.ws,Blocked - Client Error (Status Code: 403),0,"['104.21.43.99', '172.67.178.3']",61,297,0.003036975860595703,False
vcontakte.ru,"Error: HTTPSConnectionPool(host='vcontakte.ru', port=443): Max retries exceeded with url: / (Caused by NewConnectionError('<urllib3.connection.HTTPSConnection object at 0x7f79cd514340>: Failed to establish a new connection: [Errno 8] nodename nor servname provided, or not known'))",0,[],30,0,0.0033500194549560547,False
unblock.ws,Blocked - Client Error (Status Code: 403),0,"['104.21.48.172', '172.67.187.104']",60,297,0.0027608871459960938,False
unblocksite.pro,Blocked - Client Error (Status Code: 403),0,"['104.21.2.71', '172.67.128.223']",65,297,0.004613161087036133,False
zone.ne.jp,"Error: HTTPSConnectionPool(host='zone.ne.jp', port=443): Max retries exceeded with url: / (Caused by ConnectTimeoutError(<urllib3.connection.HTTPSConnection object at 0x7f79cd5e7880>, 'Connection to zone.ne.jp timed out. (connect timeout=3)'))",0,['122.220.195.88'],44,57,0.02821826934814453,False
toffy.lol,Accessible (Status Code: 200),0,"['104.21.96.1', '104.21.80.1', '104.21.112.1', '104.21.32.1', '104.21.16.1', '104.21.48.1', '104.21.64.1']",139,296,0.0042798519134521484,False
dirproxy.app,Blocked - Client Error (Status Code: 403),0,"['104.21.16.1', '104.21.80.1', '104.21.112.1', '104.21.96.1', '104.21.48.1', '104.21.32.1', '104.21.64.1']",142,296,0.004038095474243164,False
vpnarea.com,Blocked (Status Code: 521),0,"['104.26.5.240', '104.26.4.240', '172.67.73.41']",77,296,0.002330303192138672,False
dirp.app,Blocked - Client Error (Status Code: 403),0,"['188.114.97.7', '188.114.96.7']",58,296,0.002549886703491211,False
megapirate.net,Blocked - Client Error (Status Code: 403),0,"['172.67.138.128', '104.21.64.253']",64,296,0.002516031265258789,False
sbdns.co.in,Accessible (Status Code: 200),0,['144.24.149.74'],45,296,0.0026171207427978516,False
suborbit.al,Accessible (Status Code: 200),0,"['104.21.55.94', '172.67.147.49']",61,296,0.0025472640991210938,False
vpntunnel.se,Accessible (Status Code: 200),0,['104.168.144.189'],46,3596,0.003547191619873047,False
dirflix.net,Blocked - Client Error (Status Code: 403),0,"['104.21.53.47', '172.67.209.1']",61,296,0.006230831146240234,False
mediarepost.ru,Accessible (Status Code: 200),0,"['104.21.96.1', '104.21.16.1', '104.21.32.1', '104.21.112.1', '104.21.48.1', '104.21.80.1', '104.21.64.1']",144,296,0.0029821395874023438,False
hidemyip.com,Accessible (Status Code: 200),0,"['188.114.97.7', '188.114.96.7']",62,296,0.004121065139770508,False
markosweb.com,Accessible (Status Code: 200),0,"['104.21.16.1', '104.21.48.1', '104.21.80.1', '104.21.32.1', '104.21.112.1', '104.21.64.1', '104.21.96.1']",143,296,0.0028150081634521484,False
dotls.org,"Error: HTTPSConnectionPool(host='dotls.org', port=443): Max retries exceeded with url: / (Caused by SSLError(SSLError(1, '[SSL: TLSV1_ALERT_INTERNAL_ERROR] tlsv1 alert internal error (_ssl.c:1129)')))",0,['154.21.93.142'],43,296,0.002015829086303711,False
besteyecandy.com,Accessible (Status Code: 200),0,['178.72.21.145'],50,1796,0.002515077590942383,False
yilusk5.com,Accessible (Status Code: 200),0,"['104.21.58.116', '172.67.159.104']",61,296,0.0033092498779296875,False
123proxy.cc,Blocked - Client Error (Status Code: 403),0,"['104.21.80.1', '104.21.112.1', '104.21.16.1', '104.21.48.1', '104.21.64.1', '104.21.32.1', '104.21.96.1']",141,296,0.0025479793548583984,False
securevpn.pro,Accessible (Status Code: 200),0,"['104.21.76.61', '172.67.190.85']",63,296,0.0028977394104003906,False
vpn.com,Blocked - Client Error (Status Code: 403),0,"['141.193.213.10', '141.193.213.11']",57,3596,0.0021321773529052734,False
blaim.ru,Accessible (Status Code: 200),0,['46.4.119.162'],42,596,0.003407001495361328,False
piraproxy.info,Blocked - Client Error (Status Code: 403),0,"['104.21.18.76', '172.67.180.240']",64,296,0.003139972686767578,False
onefree.info,Blocked - Client Error (Status Code: 403),0,"['104.21.96.1', '104.21.16.1', '104.21.48.1', '104.21.32.1', '104.21.112.1', '104.21.64.1', '104.21.80.1']",142,296,0.0021109580993652344,False
