website,https_status,return_code,ip,size,ttl,response_time,exception
free-vpn-proxy.com,"Error: HTTPSConnectionPool(host='free-vpn-proxy.com', port=443): Max retries exceeded with url: / (Caused by SSLError(SSLCertVerificationError(""hostname 'free-vpn-proxy.com' doesn't match either of '*.131-shelbmgiaccessfedpl.kohld.com', '*.acumen.store', '*.admdysonmarksandspencer.kohld.com', '*.advertising-dyson.kohld.com', '*.america-ncg0-phx3-apps.kohld.com', '*.app-qa-ncg0-phx3-app-qa.kohld.com', '*.bastion-ncg0-phx3-apps.kohld.com', '*.bikash.store', '*.cgi-ncg0-phx3-apps.kohld.com', '*.cheat-engine.online', '*.cluster-stg-ncg0-phx3-apps.kohld.com', '*.commoditybazaar.co', '*.contact-ncg0-phx3-contact.kohld.com', '*.corporation-dyson.kohld.com', '*.dcl14-administrators-phx3.kohld.com', '*.dcl14-ncg0-phx3-dev1.kohld.com', '*.dcl14-ncg0-phx3-sftp.kohld.com', '*.dcl14-ncg0-phx3.kohld.com', '*.dcl14-ncg0-phx3citrix.kohld.com', '*.dcl14-ncg0-phx3cms-qa.kohld.com', '*.dcl14-payment-phx3.kohld.com', '*.dclmyaccount-ncg0-phx3.kohld.com', '*.delulu.store', '*.dyson-paeuc1-coprpute.kohld.com', '*.dyson-paeuc1-dnsmpute.kohld.com', '*.dyson17arksandspencer.kohld.com', '*.dysonmarksandspencerjob.kohld.com', '*.dysonmarksandspsvncer.kohld.com', '*.dysonmarksaneshoppencer.kohld.com', '*.dysonmarksanregionpencer.kohld.com', '*.dysonmx1arksandspencer.kohld.com', '*.eupodz01c6513r0002-dyson.kohld.com', '*.heximeal.com', '*.huffpostmaghreb-batch.kohld.com', '*.huffpostmaghreb-cf.kohld.com', '*.huffpostmaghreb-console.kohld.com', '*.huffpostmaghreb-dns.kohld.com', '*.huffpostmaghreb-gitlab.kohld.com', '*.huffpostmaghreb-norwayeast.kohld.com', '*.huffpostmaghreb-profiles.kohld.com', '*.huffpostmaghreb-registry.kohld.com', '*.huffpostmaghreb-sg.kohld.com', '*.huffpostmaghreb-ssh.kohld.com', '*.juicymp3.cc', '*.kohld.com', '*.ladybugpaints.com', '*.logon-ncg0-phx3-apps.kohld.com', '*.madoomoviefree.online', '*.mdf001ffxmrs0002-brand.kohld.com', '*.mdf001ffxmrs0002-config.kohld.com', '*.mdf001ffxmrs0002-dash.kohld.com', '*.mdf001ffxmrs0002-engine.kohld.com', '*.mdf001ffxmrs0002-latin.kohld.com', '*.mdf001ffxmrs0002-team2.kohld.com', '*.nexttv.site', '*.nonprod-ncg0-phx3-apps.kohld.com', '*.pmgtworkscommunityemail.kohld.com', '*.push-ncg0-phx3-apps.kohld.com', '*.rarerecord.io', '*.registra.online', '*.rivolutplayer.store', '*.scarymazegames.net', '*.shbmgicanadaeastcs58.kohld.com', '*.shbmgielasticcs5insights.kohld.com', '*.shbmgimdashboa02api.kohld.com', '*.shbmgimdashboardapicms-qa.kohld.com', '*.shbmgimdashboardapifiles.kohld.com', '*.shbmgizoomin152no01a.kohld.com', '*.shbmgtrainingwebshare-nova.kohld.com', '*.shstmgiwestshare-nova.kohld.com', '*.splunk-ncg0-phx3-apps.kohld.com', '*.tarapaca1037.cl', '*.useast1-ncg0-phx3-useast1.kohld.com', '*.v7workscommunity-dyson.kohld.com', 'acumen.store', 'bikash.store', 'cheat-engine.online', 'commoditybazaar.co', 'delulu.store', 'heximeal.com', 'juicymp3.cc', 'kohld.com', 'ladybugpaints.com', 'madoomoviefree.online', 'nexttv.site', 'rarerecord.io', 'registra.online', 'rivolutplayer.store', 'scarymazegames.net', 'tarapaca1037.cl'"")))",0,['103.224.212.217'],52,4496,0.0031080245971679688,False
ppira.com,Blocked - Client Error (Status Code: 403),0,"['104.21.53.171', '172.67.215.208']",59,371,0.14368724822998047,False
dns-over-https.com,Accessible (Status Code: 200),0,"['3.124.100.143', '3.125.36.175']",68,371,0.003801107406616211,False
netsocks.io,Accessible (Status Code: 200),0,"['18.102.16.191', '35.152.104.113', '35.152.119.144']",77,14,0.003632068634033203,False
piraproxy.app,Blocked - Client Error (Status Code: 403),0,"['104.21.51.61', '172.67.222.134']",63,371,0.022391080856323242,False
croxy.rocks,Blocked - Client Error (Status Code: 400),0,"['104.21.11.15', '172.67.147.140']",61,371,0.004962921142578125,False
theproxies.net,Blocked - Client Error (Status Code: 403),0,"['172.67.145.170', '104.21.63.129']",64,370,0.0032808780670166016,False
unblockweb.biz,Blocked - Client Error (Status Code: 403),0,"['172.67.216.221', '104.21.24.50']",64,370,0.03677988052368164,False
theproxy2.info,Blocked - Client Error (Status Code: 403),0,"['172.67.215.183', '104.21.75.64']",64,370,0.004739284515380859,False
unmoor.com,Accessible (Status Code: 200),0,"['104.21.92.143', '172.67.195.49']",60,370,0.004668235778808594,False
