website,https_status,return_code,ip,size,ttl,response_time,exception,error_message
smsm.ph,Accessible (Status Code: 200),0.0,"['13.248.251.78', '99.83.162.94']",57.0,15.0,0.07480597496032715,False,
read-lookism.com,Accessible (Status Code: 200),0.0,"['172.67.159.190', '104.21.9.105']",66.0,15.0,0.07470917701721191,False,
bangbrosteenporn.com,"Error: HTTPSConnectionPool(host='bangbrosteenporn.com', port=443): Max retries exceeded with url: / (Caused by SSLError(SSLCertVerificationError(1, '[SSL: CERTIFICATE_VERIFY_FAILED] certificate verify failed: self signed certificate in certificate chain (_ssl.c:1129)')))",0.0,"['172.67.71.32', '104.26.0.208', '104.26.1.208']",86.0,15.0,0.06230974197387695,False,
kuro-ai.com,"Error: HTTPSConnectionPool(host='kuro-ai.com', port=443): Max retries exceeded with url: / (Caused by SSLError(SSLCertVerificationError(1, '[SSL: CERTIFICATE_VERIFY_FAILED] certificate verify failed: self signed certificate in certificate chain (_ssl.c:1129)')))",0.0,"['172.67.70.159', '104.26.7.8', '104.26.6.8']",77.0,15.0,0.07628798484802246,False,
allaccessfans.co,Accessible (Status Code: 200),0.0,"['104.21.31.197', '172.67.179.166']",66.0,15.0,0.06684112548828125,False,
lauxanh.one,Blocked - Client Error (Status Code: 404),0.0,"['172.67.142.195', '104.21.95.38']",61.0,15.0,0.07437801361083984,False,
zooporn.video,"Error: HTTPSConnectionPool(host='zooporn.video', port=443): Max retries exceeded with url: / (Caused by SSLError(SSLCertVerificationError(1, '[SSL: CERTIFICATE_VERIFY_FAILED] certificate verify failed: self signed certificate in certificate chain (_ssl.c:1129)')))",0.0,"['104.21.80.1', '104.21.64.1', '104.21.16.1', '104.21.96.1', '104.21.112.1', '104.21.32.1', '104.21.48.1']",143.0,15.0,0.07303214073181152,False,
livehd720.com,Accessible (Status Code: 200),0.0,['34.235.250.63'],47.0,4502.0,0.07181811332702637,False,
casinohex.co.za,"Error: HTTPSConnectionPool(host='casinohex.co.za', port=443): Max retries exceeded with url: / (Caused by ConnectTimeoutError(<urllib3.connection.HTTPSConnection object at 0x7f9202e6b640>, 'Connection to casinohex.co.za timed out. (connect timeout=15)'))",0.0,['217.175.53.72'],49.0,4502.0,0.07947683334350586,False,
essay-reviews.com,Accessible (Status Code: 200),0.0,"['15.161.34.42', '15.160.106.203', '35.152.117.67']",83.0,77.0,0.07606196403503418,False,
brombet.com,Accessible (Status Code: 200),0.0,['83.164.147.113'],45.0,382.0,0.0756077766418457,False,
sssexxx.net,"Error: HTTPSConnectionPool(host='sssexxx.net', port=443): Max retries exceeded with url: / (Caused by SSLError(SSLCertVerificationError(1, '[SSL: CERTIFICATE_VERIFY_FAILED] certificate verify failed: self signed certificate in certificate chain (_ssl.c:1129)')))",0.0,['209.126.108.36'],45.0,875.0,0.08123016357421875,False,
fpack.jp,"Error: HTTPSConnectionPool(host='fpack.jp', port=443): Max retries exceeded with url: / (Caused by SSLError(SSLCertVerificationError(1, '[SSL: CERTIFICATE_VERIFY_FAILED] certificate verify failed: self signed certificate in certificate chain (_ssl.c:1129)')))",0.0,['210.239.38.188'],42.0,382.0,0.0845651626586914,False,
nashstore.ru,"Error: HTTPSConnectionPool(host='nashstore.ru', port=443): Max retries exceeded with url: / (Caused by SSLError(SSLCertVerificationError(1, '[SSL: CERTIFICATE_VERIFY_FAILED] certificate verify failed: self signed certificate in certificate chain (_ssl.c:1129)')))",0.0,['95.181.181.62'],46.0,152.0,0.11555004119873047,False,
oldiepornos.com,"Error: HTTPSConnectionPool(host='oldiepornos.com', port=443): Max retries exceeded with url: / (Caused by SSLError(SSLCertVerificationError(1, '[SSL: CERTIFICATE_VERIFY_FAILED] certificate verify failed: self signed certificate in certificate chain (_ssl.c:1129)')))",0.0,"['104.21.92.229', '172.67.199.99']",65.0,15.0,0.07620406150817871,False,
uzxit.net,Accessible (Status Code: 200),0.0,['195.3.221.161'],43.0,15.0,0.08410215377807617,False,
1lib.ph,Accessible (Status Code: 200),0.0,['176.123.7.105'],41.0,15.0,0.18695306777954102,False,
dszbok.com,Accessible (Status Code: 200),0.0,['47.243.172.248'],44.0,15.0,0.11191105842590332,False,
9nunghd.com,Accessible (Status Code: 200),0.0,"['104.26.12.50', '172.67.73.8', '104.26.13.50']",77.0,15.0,0.09558296203613281,False,
scaryforkids.com,Accessible (Status Code: 200),0.0,"['104.21.5.251', '172.67.134.22']",66.0,15.0,0.06708097457885742,False,
meeticaffinity.it,"Error: HTTPSConnectionPool(host='www.meeticaffinity.it', port=443): Max retries exceeded with url: / (Caused by NewConnectionError('<urllib3.connection.HTTPSConnection object at 0x7f9202f0da00>: Failed to establish a new connection: [Errno 8] nodename nor servname provided, or not known'))",0.0,['62.23.26.20'],51.0,15.0,0.07376599311828613,False,
banana.porn,Blocked - Client Error (Status Code: 403),0.0,"['104.21.48.1', '104.21.96.1', '104.21.80.1', '104.21.64.1', '104.21.112.1', '104.21.16.1', '104.21.32.1']",141.0,15.0,0.07503604888916016,False,
extremereach.com,Blocked - Client Error (Status Code: 403),0.0,"['141.193.213.21', '141.193.213.20']",66.0,17.0,0.07809209823608398,False,
kungaslottet.se,Blocked - Client Error (Status Code: 403),0.0,"['172.67.68.166', '104.26.5.195', '104.26.4.195']",81.0,15.0,0.06972289085388184,False,
zaochnik.com,Accessible (Status Code: 200),0.0,"['104.21.32.1', '104.21.96.1', '104.21.64.1', '104.21.112.1', '104.21.16.1', '104.21.80.1', '104.21.48.1']",142.0,15.0,0.06713485717773438,False,
114bet8.com,Accessible (Status Code: 200),0.0,"['18.65.64.33', '18.65.64.25', '18.65.64.129', '18.65.64.22']",93.0,54.0,0.07265806198120117,False,
mydesi2.mobi,"Error: HTTPSConnectionPool(host='mydesi2.mobi', port=443): Max retries exceeded with url: / (Caused by SSLError(SSLCertVerificationError(1, '[SSL: CERTIFICATE_VERIFY_FAILED] certificate verify failed: self signed certificate in certificate chain (_ssl.c:1129)')))",0.0,"['104.21.81.242', '172.67.192.31']",62.0,15.0,0.06810903549194336,False,
beyzam.com,Accessible (Status Code: 200),0.0,"['172.67.165.247', '104.21.16.21']",60.0,15.0,0.06346297264099121,False,
quinnbet.com,"Error: HTTPSConnectionPool(host='quinnbet.com', port=443): Max retries exceeded with url: / (Caused by SSLError(SSLCertVerificationError(1, '[SSL: CERTIFICATE_VERIFY_FAILED] certificate verify failed: self signed certificate in certificate chain (_ssl.c:1129)')))",0.0,['104.18.4.148'],46.0,379.0,0.07891106605529785,False,
cambro.today,"Error: HTTPSConnectionPool(host='cambro.today', port=443): Max retries exceeded with url: / (Caused by SSLError(SSLCertVerificationError(1, '[SSL: CERTIFICATE_VERIFY_FAILED] certificate verify failed: self signed certificate in certificate chain (_ssl.c:1129)')))",0.0,['94.102.51.53'],46.0,754.0,0.10986089706420898,False,
tanzpartner.de,Accessible (Status Code: 200),0.0,['217.160.0.43'],48.0,4129.0,0.086212158203125,False,
ibomma.io,Accessible (Status Code: 200),0.0,"['216.239.36.21', '216.239.34.21', '216.239.38.21', '216.239.32.21']",91.0,15.0,0.07029891014099121,False,
bokep3gp.top,Accessible (Status Code: 200),0.0,['51.91.221.56'],46.0,4502.0,0.08114910125732422,False,
18xxx.su,"Error: HTTPSConnectionPool(host='18xxx.su', port=443): Max retries exceeded with url: / (Caused by NewConnectionError('<urllib3.connection.HTTPSConnection object at 0x7f9202f0d0d0>: Failed to establish a new connection: [Errno 61] Connection refused'))",0.0,['213.174.130.131'],42.0,1129.0,0.12189602851867676,False,
zorgfilm.com.co,Blocked - Client Error (Status Code: 403),0.0,"['172.67.206.181', '104.21.77.104']",65.0,15.0,0.058541059494018555,False,
