website,https_status,return_code,ip,size,ttl,response_time,exception,error_message
read-lookism.com,Accessible (Status Code: 200),0.0,"['104.21.9.105', '172.67.159.190']",66.0,362.0,0.007550954818725586,False,
bangbrosteenporn.com,"Error: HTTPSConnectionPool(host='bangbrosteenporn.com', port=443): Max retries exceeded with url: / (Caused by SSLError(SSLCertVerificationError(1, '[SSL: CERTIFICATE_VERIFY_FAILED] certificate verify failed: unable to get local issuer certificate (_ssl.c:1129)')))",0.0,"['104.26.0.208', '172.67.71.32', '104.26.1.208']",86.0,362.0,0.006926059722900391,False,
kuro-ai.com,Accessible (Status Code: 200),0.0,"['104.26.6.8', '172.67.70.159', '104.26.7.8']",77.0,362.0,0.006226778030395508,False,
allaccessfans.co,Accessible (Status Code: 200),0.0,"['172.67.179.166', '104.21.31.197']",66.0,362.0,0.007784843444824219,False,
lauxanh.one,"Error: HTTPSConnectionPool(host='lauxanh.one', port=443): Max retries exceeded with url: / (Caused by SSLError(SSLCertVerificationError(1, '[SSL: CERTIFICATE_VERIFY_FAILED] certificate verify failed: unable to get local issuer certificate (_ssl.c:1129)')))",0.0,"['104.21.95.38', '172.67.142.195']",61.0,362.0,0.007218122482299805,False,
zooporn.video,"Error: HTTPSConnectionPool(host='zooporn.video', port=443): Max retries exceeded with url: / (Caused by SSLError(SSLCertVerificationError(1, '[SSL: CERTIFICATE_VERIFY_FAILED] certificate verify failed: unable to get local issuer certificate (_ssl.c:1129)')))",0.0,"['104.21.112.1', '104.21.64.1', '104.21.96.1', '104.21.48.1', '104.21.32.1', '104.21.16.1', '104.21.80.1']",143.0,362.0,0.012117862701416016,False,
livehd720.com,Accessible (Status Code: 200),0.0,['34.235.250.63'],47.0,4488.0,0.00875401496887207,False,
casinohex.co.za,"Error: HTTPSConnectionPool(host='casinohex.co.za', port=443): Max retries exceeded with url: / (Caused by NewConnectionError('<urllib3.connection.HTTPSConnection object at 0x7fa0228fa910>: Failed to establish a new connection: [Errno 8] nodename nor servname provided, or not known'))",0.0,[],33.0,0.0,0.011240959167480469,False,
essay-reviews.com,Accessible (Status Code: 200),0.0,"['35.152.117.67', '15.160.106.203', '15.161.34.42']",83.0,15.0,0.1392073631286621,False,
brombet.com,Accessible (Status Code: 200),0.0,['83.164.147.113'],45.0,737.0,0.007403135299682617,False,
sssexxx.net,"Error: HTTPSConnectionPool(host='sssexxx.net', port=443): Max retries exceeded with url: / (Caused by SSLError(SSLCertVerificationError(1, '[SSL: CERTIFICATE_VERIFY_FAILED] certificate verify failed: unable to get local issuer certificate (_ssl.c:1129)')))",0.0,['209.126.108.36'],45.0,4487.0,0.0076258182525634766,False,
fpack.jp,"Error: HTTPSConnectionPool(host='fpack.jp', port=443): Max retries exceeded with url: / (Caused by SSLError(SSLCertVerificationError(1, '[SSL: CERTIFICATE_VERIFY_FAILED] certificate verify failed: unable to get local issuer certificate (_ssl.c:1129)')))",0.0,['210.239.38.188'],42.0,737.0,0.008576154708862305,False,
nashstore.ru,Blocked (Status Code: 504),0.0,['95.181.181.62'],46.0,137.0,0.008607149124145508,False,
oldiepornos.com,"Error: HTTPSConnectionPool(host='oldiepornos.com', port=443): Max retries exceeded with url: / (Caused by SSLError(SSLCertVerificationError(1, '[SSL: CERTIFICATE_VERIFY_FAILED] certificate verify failed: unable to get local issuer certificate (_ssl.c:1129)')))",0.0,"['172.67.199.99', '104.21.92.229']",65.0,362.0,0.008855104446411133,False,
uzxit.net,Accessible (Status Code: 200),0.0,['195.3.221.161'],43.0,362.0,0.008839130401611328,False,
1lib.ph,Accessible (Status Code: 200),0.0,['176.123.7.105'],41.0,15.0,0.47994327545166016,False,
dszbok.com,Accessible (Status Code: 200),0.0,['47.243.172.248'],44.0,28.0,0.005285978317260742,False,
9nunghd.com,Accessible (Status Code: 200),0.0,"['104.26.12.50', '172.67.73.8', '104.26.13.50']",77.0,362.0,0.0055999755859375,False,
scaryforkids.com,"Error: HTTPSConnectionPool(host='scaryforkids.com', port=443): Max retries exceeded with url: / (Caused by SSLError(SSLCertVerificationError(1, '[SSL: CERTIFICATE_VERIFY_FAILED] certificate verify failed: unable to get local issuer certificate (_ssl.c:1129)')))",0.0,"['172.67.134.22', '104.21.5.251']",66.0,361.0,0.0072519779205322266,False,
meeticaffinity.it,"Error: HTTPSConnectionPool(host='meeticaffinity.it', port=443): Max retries exceeded with url: / (Caused by SSLError(SSLCertVerificationError(1, '[SSL: CERTIFICATE_VERIFY_FAILED] certificate verify failed: unable to get local issuer certificate (_ssl.c:1129)')))",0.0,['62.23.26.20'],51.0,12.0,0.007889032363891602,False,
banana.porn,"Error: HTTPSConnectionPool(host='banana.porn', port=443): Max retries exceeded with url: / (Caused by SSLError(SSLCertVerificationError(1, '[SSL: CERTIFICATE_VERIFY_FAILED] certificate verify failed: unable to get local issuer certificate (_ssl.c:1129)')))",0.0,"['104.21.16.1', '104.21.112.1', '104.21.32.1', '104.21.48.1', '104.21.64.1', '104.21.80.1', '104.21.96.1']",141.0,362.0,0.0074460506439208984,False,
extremereach.com,Blocked - Client Error (Status Code: 403),0.0,"['141.193.213.20', '141.193.213.21']",66.0,24.0,0.007318973541259766,False,
kungaslottet.se,Blocked - Client Error (Status Code: 403),0.0,"['172.67.68.166', '104.26.5.195', '104.26.4.195']",81.0,362.0,0.0072057247161865234,False,
zaochnik.com,"Error: HTTPSConnectionPool(host='zaochnik.com', port=443): Max retries exceeded with url: / (Caused by SSLError(SSLCertVerificationError(1, '[SSL: CERTIFICATE_VERIFY_FAILED] certificate verify failed: unable to get local issuer certificate (_ssl.c:1129)')))",0.0,"['104.21.16.1', '104.21.112.1', '104.21.80.1', '104.21.48.1', '104.21.96.1', '104.21.64.1', '104.21.32.1']",142.0,361.0,0.005887031555175781,False,
114bet8.com,Accessible (Status Code: 200),0.0,"['18.65.64.25', '18.65.64.129', '18.65.64.33', '18.65.64.22']",93.0,62.0,0.005949974060058594,False,
mydesi2.mobi,"Error: HTTPSConnectionPool(host='mydesi2.mobi', port=443): Max retries exceeded with url: / (Caused by SSLError(SSLCertVerificationError(1, '[SSL: CERTIFICATE_VERIFY_FAILED] certificate verify failed: unable to get local issuer certificate (_ssl.c:1129)')))",0.0,"['172.67.192.31', '104.21.81.242']",62.0,362.0,0.004847049713134766,False,
beyzam.com,"Error: HTTPSConnectionPool(host='beyzam.com', port=443): Max retries exceeded with url: / (Caused by SSLError(SSLCertVerificationError(1, '[SSL: CERTIFICATE_VERIFY_FAILED] certificate verify failed: unable to get local issuer certificate (_ssl.c:1129)')))",0.0,"['104.21.16.21', '172.67.165.247']",60.0,361.0,0.0050868988037109375,False,
quinnbet.com,"Error: HTTPSConnectionPool(host='quinnbet.com', port=443): Max retries exceeded with url: / (Caused by SSLError(SSLCertVerificationError(1, '[SSL: CERTIFICATE_VERIFY_FAILED] certificate verify failed: unable to get local issuer certificate (_ssl.c:1129)')))",0.0,['104.18.4.148'],46.0,736.0,0.004225969314575195,False,
cambro.today,"Error: HTTPSConnectionPool(host='cambro.today', port=443): Max retries exceeded with url: / (Caused by SSLError(SSLCertVerificationError(1, '[SSL: CERTIFICATE_VERIFY_FAILED] certificate verify failed: unable to get local issuer certificate (_ssl.c:1129)')))",0.0,['94.102.51.53'],46.0,1111.0,0.007196903228759766,False,
tanzpartner.de,Accessible (Status Code: 200),0.0,['217.160.0.43'],48.0,4486.0,0.007558107376098633,False,
ibomma.io,"Error: HTTPSConnectionPool(host='ibomma.io', port=443): Max retries exceeded with url: / (Caused by SSLError(SSLCertVerificationError(1, '[SSL: CERTIFICATE_VERIFY_FAILED] certificate verify failed: unable to get local issuer certificate (_ssl.c:1129)')))",0.0,"['216.239.32.21', '216.239.38.21', '216.239.36.21', '216.239.34.21']",91.0,361.0,0.006577014923095703,False,
bokep3gp.top,"Error: HTTPSConnectionPool(host='bokep3gp.top', port=443): Max retries exceeded with url: / (Caused by SSLError(SSLCertVerificationError(1, '[SSL: CERTIFICATE_VERIFY_FAILED] certificate verify failed: unable to get local issuer certificate (_ssl.c:1129)')))",0.0,['51.91.221.56'],46.0,4486.0,0.007156848907470703,False,
18xxx.su,"Error: HTTPSConnectionPool(host='18xxx.su', port=443): Max retries exceeded with url: / (Caused by NewConnectionError('<urllib3.connection.HTTPSConnection object at 0x7fa022ae6d30>: Failed to establish a new connection: [Errno 61] Connection refused'))",0.0,['213.174.130.131'],42.0,1487.0,0.005002021789550781,False,
zorgfilm.com.co,Blocked - Client Error (Status Code: 403),0.0,"['172.67.206.181', '104.21.77.104']",65.0,361.0,0.004774332046508789,False,
8xbet06.blog,Blocked - Client Error (Status Code: 403),0.0,"['104.26.2.88', '172.67.72.14', '104.26.3.88']",78.0,361.0,0.004793882369995117,False,
ashemaletubeporn.com,"Error: HTTPSConnectionPool(host='ashemaletubeporn.com', port=443): Max retries exceeded with url: / (Caused by SSLError(SSLCertVerificationError(1, '[SSL: CERTIFICATE_VERIFY_FAILED] certificate verify failed: unable to get local issuer certificate (_ssl.c:1129)')))",0.0,['45.138.128.185'],54.0,61.0,0.00501704216003418,False,
panas777.info,Accessible (Status Code: 200),0.0,"['104.21.65.148', '172.67.164.28']",63.0,361.0,0.005312919616699219,False,
hentaizap.com,"Error: HTTPSConnectionPool(host='hentaizap.com', port=443): Max retries exceeded with url: / (Caused by SSLError(SSLCertVerificationError(1, '[SSL: CERTIFICATE_VERIFY_FAILED] certificate verify failed: unable to get local issuer certificate (_ssl.c:1129)')))",0.0,"['104.21.6.185', '172.67.187.125']",63.0,361.0,0.004587888717651367,False,
isproxyip.com,"Error: HTTPSConnectionPool(host='isproxyip.com', port=443): Max retries exceeded with url: / (Caused by SSLError(SSLCertVerificationError(1, '[SSL: CERTIFICATE_VERIFY_FAILED] certificate verify failed: unable to get local issuer certificate (_ssl.c:1129)')))",0.0,"['104.21.16.1', '104.21.48.1', '104.21.64.1', '104.21.32.1', '104.21.80.1', '104.21.112.1', '104.21.96.1']",143.0,361.0,0.0050580501556396484,False,
flashdown365.com,"Error: HTTPSConnectionPool(host='flashdown365.com', port=443): Read timed out. (read timeout=15)",0.0,"['104.21.48.1', '104.21.16.1', '104.21.64.1', '104.21.112.1', '104.21.96.1', '104.21.80.1', '104.21.32.1']",146.0,361.0,0.005110025405883789,False,
sexsaoy.com,"Error: HTTPSConnectionPool(host='sexsaoy.com', port=443): Max retries exceeded with url: / (Caused by SSLError(SSLCertVerificationError(1, '[SSL: CERTIFICATE_VERIFY_FAILED] certificate verify failed: unable to get local issuer certificate (_ssl.c:1129)')))",0.0,['217.12.200.79'],45.0,4486.0,0.0075299739837646484,False,
salasdechatgratis.org,Accessible (Status Code: 200),0.0,['37.252.97.191'],55.0,4487.0,0.03339695930480957,False,
sattakingexpert.in,Accessible (Status Code: 200),0.0,['92.113.16.150'],52.0,61.0,0.006977081298828125,False,
holyodds.com,Accessible (Status Code: 200),0.0,"['172.67.187.158', '104.21.92.64']",62.0,361.0,0.007591724395751953,False,
turismodevino.com,Accessible (Status Code: 200),0.0,['82.98.178.185'],51.0,361.0,0.00850677490234375,False,
nyafilmer.gg,"Error: HTTPSConnectionPool(host='nyafilmer.gg', port=443): Max retries exceeded with url: / (Caused by SSLError(SSLCertVerificationError(1, '[SSL: CERTIFICATE_VERIFY_FAILED] certificate verify failed: unable to get local issuer certificate (_ssl.c:1129)')))",0.0,"['172.67.217.99', '104.21.93.254']",62.0,361.0,0.006500720977783203,False,
feniksscasino.lv,"Error: HTTPSConnectionPool(host='feniksscasino.lv', port=443): Max retries exceeded with url: / (Caused by SSLError(SSLCertVerificationError(1, '[SSL: CERTIFICATE_VERIFY_FAILED] certificate verify failed: unable to get local issuer certificate (_ssl.c:1129)')))",0.0,['94.136.112.167'],50.0,61.0,0.007519960403442383,False,
anifound.com,Accessible (Status Code: 200),0.0,"['104.21.48.1', '104.21.80.1', '104.21.112.1', '104.21.64.1', '104.21.16.1', '104.21.96.1', '104.21.32.1']",142.0,361.0,0.020997285842895508,False,
cvo1.rocks,"Error: HTTPSConnectionPool(host='cvo1.rocks', port=443): Max retries exceeded with url: / (Caused by NewConnectionError('<urllib3.connection.HTTPSConnection object at 0x7fa0229a51f0>: Failed to establish a new connection: [Errno 8] nodename nor servname provided, or not known'))",3.0,['v0n0.nic.rocks. hostmaster.donuts.email. 1739280029 7200 900 1209600 3600'],96.0,3600.0,0.0050847530364990234,False,
frydbarscarts.com,Accessible (Status Code: 200),0.0,['145.223.105.215'],51.0,2236.0,0.010526180267333984,False,
clubewin.com,"Error: HTTPSConnectionPool(host='clubewin.com', port=443): Max retries exceeded with url: / (Caused by SSLError(SSLCertVerificationError(1, '[SSL: CERTIFICATE_VERIFY_FAILED] certificate verify failed: unable to get local issuer certificate (_ssl.c:1129)')))",0.0,"['clubewin.com.w.cdngslb.com.', '163.181.131.169']",83.0,61.0,0.022748947143554688,False,
sokabet.co.tz,Accessible (Status Code: 200),0.0,"['18.168.65.57', '3.127.109.30', '54.220.171.14']",79.0,1112.0,0.009050846099853516,False,
1xlite-659540.top,"Error: HTTPSConnectionPool(host='1xlite-659540.top', port=443): Max retries exceeded with url: / (Caused by NewConnectionError('<urllib3.connection.HTTPSConnection object at 0x7fa022a30ca0>: Failed to establish a new connection: [Errno 8] nodename nor servname provided, or not known'))",3.0,['a.zdnscloud.com. td_dns_gtld.knet.cn. 1391858898 600 200 2491200 3600'],105.0,3600.0,0.007653951644897461,False,
secretlink.xyz,"Error: HTTPSConnectionPool(host='secretlink.xyz', port=443): Max retries exceeded with url: / (Caused by SSLError(SSLCertVerificationError(1, '[SSL: CERTIFICATE_VERIFY_FAILED] certificate verify failed: unable to get local issuer certificate (_ssl.c:1129)')))",0.0,['185.53.177.51'],48.0,736.0,0.006832122802734375,False,
