website,https_status,return_code,ip,size,ttl,response_time,exception,error_message
9nunghd.com,Accessible (Status Code: 200),0.0,"['188.114.97.7', '188.114.96.7']",61.0,3581.0,0.09918999671936035,False,
scaryforkids.com,Accessible (Status Code: 200),0.0,"['172.67.134.22', '104.21.5.251']",66.0,3580.0,0.09098291397094727,False,
meeticaffinity.it,Accessible (Status Code: 200),0.0,['62.23.26.20'],51.0,3580.0,0.101776123046875,False,
banana.porn,Blocked - Client Error (Status Code: 403),0.0,"['104.21.32.1', '104.21.16.1', '104.21.96.1', '104.21.80.1', '104.21.48.1', '104.21.64.1', '104.21.112.1']",141.0,3580.0,0.1118001937866211,False,
extremereach.com,Blocked - Client Error (Status Code: 403),0.0,"['141.193.213.20', '141.193.213.21']",66.0,3580.0,0.08319926261901855,False,
kungaslottet.se,Blocked - Client Error (Status Code: 403),0.0,"['104.26.4.195', '172.67.68.166', '104.26.5.195']",81.0,3580.0,0.10956406593322754,False,
zaochnik.com,Accessible (Status Code: 200),0.0,"['104.21.48.1', '104.21.96.1', '104.21.64.1', '104.21.32.1', '104.21.80.1', '104.21.112.1', '104.21.16.1']",142.0,3580.0,0.1066741943359375,False,
114bet8.com,Accessible (Status Code: 200),0.0,"['108.157.188.8', '108.157.188.9', '108.157.188.109', '108.157.188.95']",93.0,3580.0,0.12285590171813965,False,
mydesi2.mobi,Accessible (Status Code: 200),0.0,"['172.67.192.31', '104.21.81.242']",62.0,3580.0,0.475506067276001,False,
beyzam.com,Accessible (Status Code: 200),0.0,"['188.114.97.7', '188.114.96.7']",60.0,3579.0,0.3081207275390625,False,
quinnbet.com,Blocked - Client Error (Status Code: 403),0.0,['104.18.4.148'],46.0,3579.0,0.12821197509765625,False,
cambro.today,Blocked - Client Error (Status Code: 403),0.0,['94.102.51.53'],46.0,3579.0,0.11050605773925781,False,
tanzpartner.de,Accessible (Status Code: 200),0.0,['217.160.0.43'],48.0,3579.0,0.18839406967163086,False,
ibomma.io,Accessible (Status Code: 200),0.0,"['216.239.38.21', '216.239.32.21', '216.239.34.21', '216.239.36.21']",91.0,3578.0,0.11568999290466309,False,
bokep3gp.top,Accessible (Status Code: 200),0.0,['51.91.221.56'],46.0,86378.0,0.11080121994018555,False,
18xxx.su,"Error: HTTPSConnectionPool(host='18xxx.su', port=443): Max retries exceeded with url: / (Caused by SSLError(SSLEOFError(8, 'EOF occurred in violation of protocol (_ssl.c:1129)')))",0.0,['213.174.130.131'],42.0,3578.0,0.09078502655029297,False,
zorgfilm.com.co,Blocked - Client Error (Status Code: 403),0.0,"['104.21.77.104', '172.67.206.181']",65.0,3578.0,0.09808993339538574,False,
8xbet06.blog,Blocked - Client Error (Status Code: 403),0.0,"['172.67.72.14', '104.26.2.88', '104.26.3.88']",78.0,3578.0,0.1054542064666748,False,
ashemaletubeporn.com,Accessible (Status Code: 200),0.0,['45.138.128.185'],54.0,3578.0,0.10263514518737793,False,
panas777.info,Accessible (Status Code: 200),0.0,"['172.67.164.28', '104.21.65.148']",63.0,3578.0,0.10339593887329102,False,
hentaizap.com,Accessible (Status Code: 200),0.0,"['188.114.97.7', '188.114.96.7']",63.0,3578.0,0.10526585578918457,False,
isproxyip.com,Accessible (Status Code: 200),0.0,"['104.21.32.1', '104.21.48.1', '104.21.64.1', '104.21.16.1', '104.21.80.1', '104.21.112.1', '104.21.96.1']",143.0,3578.0,0.09809398651123047,False,
flashdown365.com,"Error: HTTPSConnectionPool(host='flashdown365.com', port=443): Read timed out. (read timeout=15)",0.0,"['104.21.112.1', '104.21.96.1', '104.21.16.1', '104.21.48.1', '104.21.64.1', '104.21.80.1', '104.21.32.1']",146.0,3578.0,0.11334609985351562,False,
sexsaoy.com,Accessible (Status Code: 200),0.0,['217.12.200.79'],45.0,3577.0,0.11696195602416992,False,
salasdechatgratis.org,Accessible (Status Code: 200),0.0,['37.252.97.191'],55.0,14377.0,0.0969688892364502,False,
sattakingexpert.in,Accessible (Status Code: 200),0.0,['92.113.16.137'],52.0,3577.0,0.12152409553527832,False,
holyodds.com,Accessible (Status Code: 200),0.0,"['188.114.96.7', '188.114.97.7']",62.0,3577.0,0.10540008544921875,False,
turismodevino.com,Accessible (Status Code: 200),0.0,['82.98.178.185'],51.0,3577.0,0.10130691528320312,False,
nyafilmer.gg,Accessible (Status Code: 200),0.0,"['188.114.97.7', '188.114.96.7']",62.0,3577.0,0.10884785652160645,False,
feniksscasino.lv,Accessible (Status Code: 200),0.0,['94.136.112.167'],50.0,3577.0,0.09653592109680176,False,
anifound.com,Accessible (Status Code: 200),0.0,"['104.21.64.1', '104.21.16.1', '104.21.80.1', '104.21.112.1', '104.21.96.1', '104.21.48.1', '104.21.32.1']",142.0,3577.0,0.11289691925048828,False,
cvo1.rocks,"Error: HTTPSConnectionPool(host='cvo1.rocks', port=443): Max retries exceeded with url: / (Caused by NewConnectionError('<urllib3.connection.HTTPSConnection object at 0x7fed0a96ad30>: Failed to establish a new connection: [Errno 8] nodename nor servname provided, or not known'))",3.0,['v0n0.nic.rocks. hostmaster.donuts.email. 1739281294 7200 900 1209600 3600'],96.0,3577.0,0.12070727348327637,False,
frydbarscarts.com,Accessible (Status Code: 200),0.0,['145.223.105.215'],51.0,3576.0,0.09481501579284668,False,
clubewin.com,Accessible (Status Code: 200),0.0,"['clubewin.com.w.cdngslb.com.', '47.246.46.148']",83.0,3577.0,0.10017776489257812,False,
sokabet.co.tz,Accessible (Status Code: 200),0.0,"['54.220.171.14', '3.127.109.30', '18.168.65.57']",79.0,3576.0,0.10574507713317871,False,
1xlite-659540.top,"Error: HTTPSConnectionPool(host='1xlite-659540.top', port=443): Max retries exceeded with url: / (Caused by NewConnectionError('<urllib3.connection.HTTPSConnection object at 0x7fed0aad6eb0>: Failed to establish a new connection: [Errno 8] nodename nor servname provided, or not known'))",3.0,['a.zdnscloud.com. td_dns_gtld.knet.cn. 1391859069 600 200 2491200 3600'],105.0,3576.0,0.09530210494995117,False,
secretlink.xyz,Blocked - Client Error (Status Code: 410),0.0,['185.53.177.51'],48.0,3576.0,0.12728428840637207,False,
